,city,company,summary,title,AvgSal,salCategory,Salary
856,Seattle,Seattle Pacific University,"Manages data warehousing, data analytic solutions; This includes administration of business intelligence platforms, assisting with data governance, data...",BI/Data Architect,82500,High,1
858,Seattle,Pullskill Technologies,Lead Data Scientist Recruiter*. Data Scientist ‰ÛÒ SWE Team. Data Scientist (Software Engineering) ‰ÛÒ Advance Analytics*. Big Data & ML....,Data Scientist (Software Engineering),120000,High,1
859,Seattle,Washington State Government,Evaluates data quality. MEL is looking for candidates that have a strong technical understanding of environmental laboratory data and data validation;...,Quality Assurance Coordinator (Chemist 4) (In-Training),71592,High,1
860,Seattle,All-In Analytics,"Data Scientist, Compensation Analytics. Must be highly proficient in Microsoft Excel, PowerPoint and Salesforce.com and technically savvy for other data systems...","Sr. Data Scientist, Compensation Analytics",120000,High,1
861,Seattle,University of Washington School of Medicine,Postdoctoral Fellow/Research Scientist II. Assisting in the training of junior scientists. Presentations of data in lab meetings and publications....,Postdoc / Research Scientist,40000,Low,0
863,Seattle,"Job Brokers, Inc.","The role will be responsible for providing direction and training to employees (managers, process and design engineers, technicians and scientists) on...",Document Control Manager,80000,High,1
865,Seattle,All-In Analytics,Searching for a top notch business scientist to draw insights from big data and automate processes to transfer this info in real time across the organization....,Senior Business Intelligence Scientist,190000,High,1
866,Seattle,State of Washington,Evaluates data quality. MEL is looking for candidates that have a strong technical understanding of environmental laboratory data and data validation;...,Quality Assurance Coordinator (Chemist 4) (In-Training),71592,High,1
868,Seattle,All-In Analytics,"Business Intelligence Scientist. SQL, Digital Analytics, eCommerce, Big Data, A/B Testing, data mining, data analysis, reporting, dashboarding, product...",Business Intelligence Scientist,125000,High,1
870,Seattle,All-In Analytics,Business Intelligence Data Scientist. Our client is looking for an Senior Business Intelligence Data Scientist to join their insights team....,Business Intelligence Data Scientist,135000,High,1
871,Seattle,All-In Analytics,"Big Data Scientist. Looking for an outstanding Big Data Scientist to be a part of our HR Analytics Team. Organized, detail oriented, multi-tasking, deep data...",Data Scientist,150000,High,1
875,Seattle,All-In Analytics,Senior Business Intelligence Data Scientist. Our client is looking for an Senior Business Intelligence Data Scientist to join their insights team....,Senior Business Intelligence Data Scientist,190000,High,1
880,Seattle,Department Of Veterans Affairs,"Primary LIM Support focus will be Central Lab, Reference Lab, Data Innovations, Ancillary Testing, and Anatomic Pathology with a secondary focus in Blood Bank,...",Medical Technologist (Laboratory Information Manager),87313.5,High,1
885,Seattle,King County,"Conduct comprehensive data and project review of Trace Organics' analytical data including:. Checks for completeness, calculation accuracy, data interpretation,...",Trace Organics - Environmental Lab Scientist II,81078,High,1
895,Seattle,Department of the Navy,"Utilizing ophthalmic prescription ordering forms, and the necessary data to ensure order completeness of all vision tests, glasses, and exams....",Health Technician (Optometry),44293.5,Low,0
896,Seattle,Department Of Veterans Affairs,"Skilled in informatics, laboratory data flow and the understanding of laboratory processes. All candidates must currently possess or be eligible for and pass...",Medical Technologist,59910,Low,0
907,New York,AllianceBernstein,C onduct quantitative and statistical research as well as portfolio management for various investment portfolios. Collaborate with Quantitative Analysts and,AVP/Quantitative Analyst,122500,High,1
908,New York,DEPARTMENT OF SANITATION,The Data Scientist will also be provided the flexibility to experiment with his or her own ideas for improving operational insight and awareness through a data...,Computer Systems Manager I,99521,High,1
909,New York,Empiric Solutions,"Our client is looking for a driven and enthusiastic Data Scientist to join our fast-paced, execution-oriented Product Development team....",Data Scientist - Life Sciences,140000,High,1
910,New York,Averity,Are you a Senior Data Scientist excited about the thought of starting a Data Science group in the arts and entertainment world?...,Senior Data Scientist ($150k),150000,High,1
911,New York,Analytic Recruiting,"Prior analytics experience leading statisticians and data scientists. Crafting the methodology, to data mining/predictive modeling, and ultimately delivering...",Analytics Senior Director,195000,High,1
912,New York,Averity,"As a Market Data Engineer you will partner with a mix of portfolio teams to source and maintain data and tools for research, model implementations and reporting...",Data Engineer for $100B Manager ($200k+Benefits),175000,High,1
913,New York,Oliver James Associates,We are currently looking for an brilliant data scientist to utilize massive datasets in a leading insurance firm....,Data Scientist,185000,High,1
914,New York,City of New York,City Research Scientist. Write SQL to query data from Oracle databases. Coordinate and perform data matches with datasets from external agencies....,Predictive Risk Analyst,76941.5,High,1
915,New York,Averity,Examine and analyze data to increase alpha and decrease risk. Industry leading multi-billion dollar quant fund looking for Analysts that can drive quantitative...,Quantitative Analyst for Global Quant Fund,225000,High,1
916,New York,ingenium,"Work with Data Scientists to process video data in ways that are meaningful for our publishers. Collaborate with a talented team of other engineers, data...",Big Data Engineer,150000,High,1
917,New York,POLICE DEPARTMENT,"Extensive knowledge of applied statistics, analytics, machine learning, data science or big data tools....","CITY RESEARCH SCIENTIST, LEVEL II",76941.5,High,1
918,New York,Datacom Technology Group,They will report directly to the company founders and manage other Data Scientists. Political Analytics firm looking for a full time data scientist to work out...,Data Scientist,200000,High,1
919,New York,Emerald Resource Group,You must be extremely software and data driven. Working with custom algorithms with a focus on data analytics....,Quantitative Analyst,150000,High,1
920,New York,"Research Foundation for Mental Hygiene, Inc.","The incumbent will be involved in tasks related to participant tracking, data collection, extraction, record keeping and other office-related activities....","Assistant Research Scientist I, Grade 14, Job 736895",39754.5,Low,0
922,New York,"Cross Commerce Media, Inc.","Computer and Information Research Scientists. Knowledge of Java, C++, compilers, Flare, JavaScript, MySQL, OpenGL, UML design & development standards, Tableau,...",Computer and Information Research Scientists,136500,High,1
923,New York,Datacom Technology Group,"Should have experience conducting empirical research and working with large fundamental data sets. Will analyze and interpret relevant data, use valuation...",Quantitative Analyst (Fundamental Quant Equities) - Hedge Fu...,200000,High,1
924,New York,Empiric Solutions,The Data Scientist will be responsible for ensuring that our data products are of the highest quality. Develop and maintain ongoing data exploratory analyses...,Data Scientist - Digital Marketing - Technology Start-Up,140000,High,1
925,New York,Oliver James Associates,"This is an excellent opportunity for a candidate from an actuarial background with previous experience in predictive modelling, preferably with P&C experience",VP - Predictive Modeling Actuary,215000,High,1
926,New York,NYC Department of Buildings,"Translating quantitative data, research findings, and insights into compelling and informative graphic materials (e.g., charts, graphs);...","Quantitative Data Analyst, Risk Management",74903.5,High,1
927,New York,Selby Jennings,"Data Scientist Global Private Asset Management Firm Manhattan, New York, USA Circa $100,000 - $200,000 plus Bonus and Benefits Key Skills: Python, R,",Data Scientist,150000,High,1
928,New York,TalentHub Worldwide,The Data Scientist assists in creating and maintaining data infrastructure for gathering multiple sources of data into a single data hub for the generation of...,Data Scientist,105000,High,1
929,New York,SUNY Oswego,"Image reconstruction algorithms, data analysis and software development. The Research Foundation for SUNY on behalf of the Advanced Wireless Systems Research...",Post-Doctoral Research Scientist,55000,Low,0
931,New York,Wade & Wendy,Programmatically adding data to and manipulating data from a graph-based database system. Gather and parse structured as well as unstructured data and organize...,Sr. Machine Learning Data Scientist,130000,High,1
932,New York,GVATE,"You should also have experience communicating with website developers, software engineers and data scientist....","Marketing Specialist | SEO, PPC, Conversion Marketing",40000,Low,0
933,New York,"Environmental Conservation, Department of","Strong familiarity with water quality monitoring and assessment techniques, toxicology and toxicological research, statistical analysis and data evaluation....",Research Scientist 3 - (Water Pollution),85038.5,High,1
934,New York,Technical Source,"Data analytics and modeling, data visualization, business acumen and strategy.*. The Data Scientist and Senior Managing Strategy Consultant role is in our...",Data Scientist,200000,High,1
935,New York,DEPT OF HEALTH/MENTAL HYGIENE,Online School Clinic Data Repository (OSCR). Develop and implement algorithms to check data for accuracy and in addition performs data cleaning and mining in...,"Data Manager, Adolescent Health Unit",75065,High,1
936,New York,Access Staffing,"3+ years of experience in customer/market research or retail consulting. Strong interest in sociology, customer psychology and fashion/retail. Self-motivated","Analyst, Market Research",75000,High,1
937,New York,HRA/DEPT OF SOCIAL SERVICES,Availability and feasibility of data. Utilize both program and administrative data to develop report indicators that measure....,PROJECT MANAGER,75619.5,High,1
938,New York,New York State Senate,Restructure social listening data to achieve social intelligence from big data. Ability to provide data visualizations....,Data Scientist,50000,Low,0
939,New York,Smith Hanley Associates,"As a Data Scientist, you will:. We are looking for Data Scientist to join the team in our New York City office....",Data Scientist,115000,High,1
940,New York,Research Foundation of The City University of New...,Extensive data are available to support reservoir hydrodynamic and water quality modeling. Work will involve collaborative efforts with an interdisciplinary...,Water Quality Modeler,61500,Low,0
941,New York,NJF Search,"The role will focus on data analysis, statistics and probability. The main focus is to update existing strategies, monetize alphas, measure latencies conduct...",Statistician ‰ÛÒ Trading Firm,120000,High,1
942,New York,Columbia University,Executes the field-going operations with supervising scientist. Maintains ongoing data collection for long-term remote operations....,SENIOR RESEARCH STAFF ASSISTANT,45000,Low,0
943,New York,DEPARTMENT OF FINANCE,"Strong data analysis skills and data testing. Assisting with data cleansing, data conversion, system integrity, and system access issues....",Policy Data Analyst,74119.5,High,1
944,New York,Averity,"Knowledge big data analysis and systems. Individual will work directly with Senior Analysts, Traders and report to trading head to leverage his/her big data and...",Junior Quantitative Analyst / Developer for $5B Hedge Fund,200000,High,1
945,New York,Smith Arnold Partners,Analyze and interpret data and derive insights to answer key clients‰Ûª business questions. Expanding international research and strategy firm in seeks a Research...,Research Analyst,45000,Low,0
946,New York,Univision communications inc,"Infographics, visual data representation skills a plus. Comfortable working with large data files and cross tabs....","Analyst, Strategy & Insights ‰ÛÒ Custom Research",55000,Low,0
947,New York,Workbridge Associates,The ideal candidate will join the Data team and assist in building and maintaining the data pipeline that drives the application....,Machine Learning Data Engineer,150000,High,1
948,New York,Research Foundation of The City University of New...,Collect data through field research exercises; Conduct intensive data analysis to inform implementation of the National Network‰Ûªs crime reduction strategies;...,Research Analyst,52500,Low,0
949,New York,Smart Host,"We‰Ûªre looking for a brilliant data scientist who codes to found our data team. As our data scientist, you‰Ûªll develop a nascent data model and pricing algorithm...",Data Scientist (Lead),75000,High,1
950,New York,DEPT OF HEALTH/MENTAL HYGIENE,"Utilize statistical tools to analyze data and manage data requests (Hub data, MasterBank, Salient data, Survey data and etc.)....","Project Manager, Bureau of Primary Care Information Project",66953.5,Low,0
951,New York,"Research Foundation for Mental Hygiene, Inc.",Manage and clean data as needed. Previous experience working with psychiatric or substance abuse data a plus....,"Research Technician III, Grade 21, Job 735195",59250,Low,0
952,New York,Workbridge Associates,"An established gourmet food delivery start-up is looking for a Python Engineer to join a team with some of the best Data Scientists, Data Engineers, and...",Software Engineer (python),140000,High,1
953,New York,NJF Search,Demonstrated ability to conduct independent research utilizing large data sets. Apply machine learning techniques to predicting financial markets....,Machine Learning Research Scientist - Hedgefund,200000,High,1
954,New York,ingenium,We are looking to hire a results-oriented data scientist with experience in data analysis and predictive modeling....,Data Scientist - Real Time Data,150000,High,1
955,New York,Princeton Consulting,Ability to visualize and communicate data science concepts to other team members and the business. With that being said an ideal candidate should have...,Data Scientist,150000,High,1
956,New York,Averity,"We are a small team right, and we have a larger data team, including both engineers and data scientists (about 25 total), that work with us in a collaborative,...",Data Engineer (Partially Remote),100000,High,1
957,New York,Selby Jennings,Senior Data Scientist. Develop solutions independently as well as lead other data scientists. A leading tech advertising company is looking for Senior Data...,Senior Data Scientist,170000,High,1
958,New York,City of New York,City Research Scientist. Write SQL to query data from Oracle databases. Perform statistical analyses using individual or case level data....,DYFJ Senior Analyst,76941.5,High,1
959,New York,Helix Sleep,2-5+ years of experience in a data scientist or data analyst with relatively little oversight and engineering support....,Senior Data Analyst,100000,High,1
960,New York,Etech Hi Inc.,"Perform data analysis and create reports based on findings. Process engineer, chemical engineer, engineer, project engineer, development engineer, engineering...",Technical Service Engineer,55000,Low,0
961,New York,NYC Health + Hospitals,"Act as a liaison between facilities, Case Management, Network Relations and Quality Management in the dissemination of member data....",Healthcare Research Analyst,51165,Low,0
962,New York,AreteX Engineering,"Candidates with experience in the analysis of experimental data derived from---but not limited to---auditory/visual/cross-sensory psychophysical, EEG, ECG, and...",NSF-Sponsored Postdoctoral Fellow: EEG Analysis,75000,High,1
963,New York,ADMIN FOR CHILDREN'S SVCS,Write SQL to query data from Oracle databases. Coordinate and perform data matches with datasets from external agencies....,Predictive Risk Analyst,76941.5,High,1
964,New York,Averity,"As a Big Data Analytics Engineer, you will work with a team of data engineers and data scientists in our new and growing data team to maintain out company's...",Big Data Engineer/ ETL Developer for a Global Education Prov...,95000,High,1
965,New York,Laguna Source,Troubleshooting of process related problems at manufacturing scale through the effective design of scale-down studies and the evaluation of data from...,Senior Scientist - Upstream Processes - Biologics Manufactur...,100000,High,1
966,New York,SUNY ESF,This position will work closely with the New York State Department of Environmental Conservation (DEC) Bureau of Wildlife (BOW) staff and will function as the...,Research Scientist,50000,Low,0
967,New York,Research Foundation of The City University of New...,Passion for working with students from diverse backgrounds and for training the next generation of NYC‰Ûªs top computer scientists....,Career Coach,45000,Low,0
968,New York,Infinity Consulting Solutions,"An ability to translate and communicate complex data issues succinctly and with clarity to ensure understanding by management, clients or data scientists....",Data Administrator,65000,Low,0
969,New York,DEPT OF HEALTH/MENTAL HYGIENE,-Manage and conduct data collection. -Experience conducting data analysis and quality assurance. -Train data collectors Ì¢‰âÂå¢Create written reports and...,"Evaluation Coordinator Shop Healthy NYC, Center For Health E...",88331,High,1
970,New York,Averity,We are looking for a Senior Data Scientist to lead and grow our company's newly formed Data Science team. As a Senior/ Lead Data Scientist you will be leading...,Senior/ Lead Data Scientist for Digital Media Company,200000,High,1
971,New York,DEPT OF ENVIRONMENT PROTECTION,"Two years as a City Research Scientist Level I can be substituted for the experience required in ""1"" and ""2"" above....",EH S Compliance Specialist,64055.5,Low,0
972,New York,Green Key Resources,"Analyze trading data in order to increase profitability, decrease risk, and reduce transaction costs. 0 to 5 years of relevant work experience....",Quantitative Analyst,110000,High,1
973,New York,DEPT OF ENVIRONMENT PROTECTION,"Experience with ESRI software and spatial data analysis, water resources and stormwater management concepts are highly desired....",Water Resources Analyst,75065,High,1
974,New York,Averity,This is an amazing opportunity for a Senior Data Scientist to move into a client-facing role. We are looking for Senior Data Scientist with Anti-Money...,Data Scientist (AML Experience),152500,High,1
975,New York,Averity,"ContactMichael Pachella (michael.pachella@averityteam.com)Quantitative Analyst, Research, Modeling, Data Science....",Quantitative Analyst (Big Data Focus) at $10+ Billion Hedge...,250000,High,1
976,New York,DEPT OF ENVIRONMENT PROTECTION,"Evaluate methods, procedures and data obtained from scientific investigation. Assemble data and write reports on the result of analyses....",Process Control Coordinator,88331,High,1
977,New York,Hire Solutions Inc.,"We are looking for data scientist, NLP specialist, etc. Understand business requirements for management data and services....",JR. Full Stack Developer,200000,High,1
978,New York,Selby Jennings,Data Scientist/Data Engineer. A well established hedge fund in New York City is looking to bring on a talented data scientist to their data team....,Data Scientist Hedge Fund New York,157500,High,1
979,New York,Analytic Recruiting,Market Research Analyst (reports to SVP) needed by international custom market research firm to manage the execution and analysis of custom market research,Market Research Analyst,65000,Low,0
980,New York,Workbridge Associates,"The current team consists of 3 junior Data Scientists, 1 mid level Data Scientist, along with the VP. They are hiring for a Senior Data Scientist / Tech Lead to...",Senior Data Scientist,145000,High,1
982,New York,Health Research Incorporated,"The incumbent will also assist senior research scientists with additional responsibilities as assigned. Assisting in sample and solution preparation, daily...",Assistant Research Scientist,42416,Low,0
983,New York,Analytic Recruiting,"Statisticians, research and lead purchase of desired software, introduce new technologies such as big data etc....",Director of Predictive Analytics (Statistician),150000,High,1
984,New York,Averity,We are a top-tier asset manager looking for a Quant Scientist (Quantitative Developer / Data Scientist) to work on one of our leading portfolio teams in our...,Quantitative Data Scientist - Large Asset Manager,225000,High,1
985,New York,3coast,VP - Predictive Modeling / Data Scientist. Handle missing data through an algorithmic approach such as multiple imputations to enable insights in sparse and...,VP - Predictive Modeling / Data Scientist,140000,High,1
986,New York,DEPT OF HEALTH/MENTAL HYGIENE,"Develop new surveillance and data analysis methods. Two years as a City Research Scientist Level I can be substituted for the experience required in ""1"" and ""2""...","Senior Epidemiologist, Bureau Systems Strengthening and Acce...",91602,High,1
987,New York,ADMIN FOR CHILDREN'S SVCS,Write SQL to query data from Oracle databases. Coordinate and perform data matches with datasets from external agencies....,Child Welfare Analyst,76941.5,High,1
988,New York,ADMIN FOR CHILDREN'S SVCS,Manage large datasets and advanced data analysis skills using statistical software such as SPSS and SAS. Two years as a City Research Scientist Level I can be...,Clinical Program Officer,76941.5,High,1
989,New York,Lighthouse Recruiting,"Reviews drug confirmation data from the laboratory, compares with the initial screening data for accuracy and release the results....",Certifying Scientist / Toxicologist,67500,Low,0
990,New York,Culver Careers,"General knowledge of Big Data, Data Warehousing and/or RDBMS. Big Data Hadoop Solutions. Experience selling solutions revolving around Big Data, Hadoop and/or...",Account Executive - Big Data Hadoop Solutions,140000,High,1
991,New York,Selby Jennings,"Build and architect data stores and data pipelines specific for data science needs. Comfortable working with large data sets, Hadoop and various clusters....",Machine Learning/Data Engineer @ NYC Start-up,152500,High,1
992,New York,DEPT OF HEALTH/MENTAL HYGIENE,"Expertise in epidemiological data analysis, demography, research design & program evaluation methodologies. Two years as a City Research Scientist Level I can...","Director of Research, Evaluation and Reporting, Health Acces...",97866.5,High,1
993,New York,The Big Game Hunter,O Handle missing data through an algorithmic approach such as multiple imputations to enable insights in sparse and messy data....,Predictive Analytics Professionals-- ROAD WARRIORS,140000,High,1
994,New York,Atrium Staffing,"Scientist needs a Masters or Ph.D.in chemistry or closely related field. Scientist assists in the development of novel compounds by HPLC, release studies, and...",SR. SCIENTIST,75000,High,1
995,New York,DEPARTMENT OF SANITATION,The Data Scientist will also be provided the Flexibility to experiment with his or her own ideas for improving operational insight and awareness through a data...,"Computer System Manager, Level I",99521,High,1
996,New York,"Health, Department of","Additional duties will include development and validation of new tests, viral sequencing, data analysis, reporting of results and general laboratory...",Assistant Research Scientist (G14) (Virology) - 34114,47799.5,Low,0
997,New York,DEPT OF HEALTH/MENTAL HYGIENE,#NAME?,"Junior Research Analyst, Family and Child Health Administrat...",64055.5,Low,0
1697,Chicago,Seeking Alpha Search International,"Working with data validation members and information technology professionals to determine model data integrity. Seeking Alpha Search International, Inc....",QUANTITATIVE MODEL VALIDATION ANALYST,155000,High,1
1698,Chicago,Workbridge Associates,Big data with Hadoop is a plus. A well-respected healthcare corporation that spun off of a major hospital and university is hiring for a Mid-Level Data...,Data Scientist,95000,High,1
1699,Chicago,Hirewell,"Data manipulation with SQL systems. Manipulate and analyze complex, high-volume, high-dimensionality data from varying sources using a variety of tools and data...",Data Scientist,125000,High,1
1700,Chicago,Smith Hanley Associates,Analyze and mine large data sets as well as perform data management and data visualization tasks. Partner with cross-functional teams and drive data driven...,Statistical Analyst,55000,Low,0
1701,Chicago,Workbridge Associates,A startup located right downtown that helps analyze consumer shopping trends and data is looking for a Senior Data Scientist to join a growing team....,Senior Data Scientist,140000,High,1
1702,Chicago,Smith Hanley Associates,Experience working with syndicated data and POS data as well as providing BI solutions in a business environment....,(Sr.) Statistical Consultant,175000,High,1
1703,Chicago,CREhire.com,Categorical Data Analysis. Statistical Analysis / Data Science:. Identifies and independently resolves data issues (such as missing values and invalid data)....,Principal Statistical Analyst / Data Scientist,138300,High,1
1704,Chicago,NJF Search,Looking for a Research Scientist with a background in Statistical Machine Learning and Bayesian inference to join a high frequency proprietary trading firm in...,"Quantitative Researcher, Machine Learning & Bayesian inferen...",200000,High,1
